city_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
105,roma,US,69.8,43.21,-75.46,Wingate By Wyndham Rome
106,nizhneudinsk,RU,73.24,54.91,99.03,"Gostinitsa, Sto Magistral'"
108,jamestown,US,66.2,42.1,-79.24,Hampton Inn & Suites Jamestown
109,puerto ayora,EC,70.0,-0.74,-90.35,Finch Bay Galapagos Hotel
111,srednekolymsk,RU,63.55,67.45,153.68, 
114,bud,US,82.4,39.45,-86.18,Madsion Scouts Camp
116,powell,US,79.0,40.16,-83.08,The Brig
117,seduva,LT,62.6,55.77,23.77, 
118,cumra,TR,64.4,37.57,32.77,Catalhoyuk Hotel
120,airai,TL,69.39,-8.93,125.41,Juvinal Martin
124,glenwood springs,US,64.99,39.55,-107.32,Glenwood Springs Cedar Lodge
130,half moon bay,US,75.99,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
133,boa vista,BR,78.8,2.82,-60.67,Aipana Plaza Hotel
134,san patricio,MX,78.8,19.22,-104.7,Hotel Cabo Blanco
136,tiznit,MA,67.48,29.58,-9.5, 
140,dennery,LC,84.2,13.9,-60.89,The Fox Grove Inn
143,birao,CF,74.28,10.28,22.79, 
144,kununurra,AU,80.6,-15.77,128.73,Hotel Kununurra
149,bengkulu,ID,82.31,-3.8,102.27,Grage Hotel Bengkulu
150,nicoya,CR,76.21,10.15,-85.45,Guayacan Real
154,kerrobert,CA,75.2,51.92,-109.13,"Motel 6 Kerrobert, SK"
155,saint-pierre,RE,68.0,-21.34,55.48,Lindsey Hôtel
156,havre,FR,64.4,49.58,0.33,gite bois jourdain
158,amurrio,ES,63.0,43.05,-3.0,Hotel Restaurante Aldama
161,vila franca do campo,PT,64.4,37.72,-25.43,Pestana Bahia Praia
162,bichura,RU,79.34,50.59,107.6,Gostinitsa Uyut
163,zhigalovo,RU,81.86,54.81,105.16,"Hotel ""Lenatur"""
166,sakakah,SA,75.2,29.97,40.21,Fakhamat Al Orjoana Apartment
